OWNER_ID,OWNER_AGE,OWNER_GENDER,DISTRICT,DISTRICT_QUARTER,BREED1,BREED1_MIXED,BREED2,BREED2_MIXED,DOG_BIRTH_YEAR,DOG_GENDER,COLOR
23493,61-70,male,11,111,Boxer,,,,2013,male,brown / white
23887,81-90,male,2,24,Zwergdackel,,,,2014,female,brown
23887,81-90,male,2,24,Zwergrauhaardackel,,,,2001,male,saufarben
23889,61-70,female,4,42,Pudel,,,,2012,male,brown
24014,51-60,female,12,123,Yorkshire Terrier,,,,2007,female,blue / tan
24242,41-50,female,11,119,Belgischer Schäfer,Mixed,,,2003,male,Brown black
24246,51-60,male,10,102,Bergamasker,Mixed,,,2001,male,black / brown
40684,71-80,male,7,74,Labrador Retriever,,,,2004,male,blond color
44439,71-80,male,7,74,Border Collie,Mixed,,,1999,male,black-and-white
54322,71-80,male,3,33,Lagotto Romagnolo,,,,2009,male,white / orange
54926,81-90,male,2,21,Jack Russel Terrier,,,,2002,male,tricolor
55176,71-80,male,3,34,Dobermann,,,,2003,female,black / brown
55835,61-70,female,8,82,Deutscher Schäfer,,,,2004,female,black / gray
56084,51-60,female,7,72,Berner Sennenhund,,,,2007,female,Tri-color
60244,51-60,male,12,122,Chow Chow,,,,2002,female,black
60397,51-60,male,7,74,Deutscher Schäfer,,,,2005,female,grey black
60402,61-70,female,11,111,Mischling klein,,,,2013,male,dark brown
60402,61-70,female,11,111,Border Terrier,,,,2004,male,red / gray / black
61323,71-80,male,8,81,Mudi,,,,2010,male,blond color
62389,71-80,male,8,83,Boxer,,,,2014,female,blotched
62621,71-80,male,11,111,Papillon,,,,2004,female,black-and-white
62628,61-70,male,7,72,Yorkshire Terrier,,,,2007,female,dun
63468,71-80,male,7,74,Mischling klein,,,,2003,male,brown / white
63704,71-80,male,10,101,Dachshund,,,,2012,female,saufarben
64202,71-80,female,6,63,Cairn Terrier,,,,2002,female,beige / brown / black
64444,61-70,male,7,71,Mischling klein,,,,2007,female,Red White
64689,51-60,male,10,101,Tibet Terrier,,,,1999,female,White
64718,51-60,male,11,115,Mischling klein,,,,2004,female,White Brown
64727,51-60,male,8,83,Border Collie,Mixed,,,2003,male,black-and-white
65665,61-70,female,8,82,Mops,,,,2002,male,beige
65665,61-70,female,8,82,Mops,,,,2002,male,black
65681,41-50,male,2,21,Italienisches Windspiel,,,,2011,male,blue
65713,61-70,female,2,21,Lagotto Romagnolo,,,,2005,female,brown
65732,51-60,male,7,72,Holländischer Schäfer,,,,2009,male,blotched
65758,51-60,female,7,71,Yorkshire Terrier,,,,2007,male,black / tan
65758,51-60,female,7,71,Welsh Springer Spaniel,,,,2002,female,Red White
65848,71-80,male,12,122,Pinscher,Mixed,,,2002,female,black / brown
65940,41-50,female,8,81,Berner Sennenhund,,,,2010,female,tricolor
65975,61-70,female,7,74,Labrador Retriever,,,,2006,male,black
65975,61-70,female,7,74,Labrador Retriever,,,,2002,female,brown
65981,51-60,female,6,63,Labrador Retriever,,,,2013,male,yellow
66144,51-60,male,5,51,Deutsche Dogge,,,,2013,female,yellow
66144,51-60,male,5,51,Labrador Retriever,,,,2006,male,brown
66151,51-60,male,11,115,Deutscher Schäfer,,,,2008,female,black / brown / white
66266,61-70,male,9,91,Mischling klein,,,,2006,female,tricolor
66298,41-50,male,6,63,Magyar Viszla,,,,2010,male,yellow
66515,61-70,male,8,83,Labrador Retriever,,,,2007,female,brown
66515,61-70,male,8,83,Labrador Retriever,,,,2011,female,brown
66524,51-60,female,12,123,Mops,,Chihuahua,,2013,male,blue / merle
66524,51-60,female,12,123,Border Collie,,,,2007,female,White black
66702,51-60,female,6,61,Zwergpudel,,,,2008,female,apricot
66757,51-60,female,1,14,Mischling gross,,,,2012,male,Brown beige
66898,41-50,male,7,73,Coton de Tulear,,,,2010,male,White
66913,51-60,male,8,83,Hovawart,,,,2012,female,black
66913,51-60,male,8,83,Hovawart,,,,2004,female,blond color
67001,51-60,female,3,34,Mops,,,,2013,male,beige
67018,71-80,female,6,61,Labrador Retriever,,,,2012,male,beige
67054,51-60,male,9,91,Beagle,,,,2003,female,tricolor
67125,51-60,male,7,74,Golden Retriever,,,,2001,male,golden
67135,31-40,male,6,61,Jack Russel Terrier,,,,2010,female,tricolor
67180,51-60,female,1,11,English Cocker Spaniel,,,,2004,female,blueroan
67220,61-70,male,6,61,Mischling klein,,,,2010,male,brown
67308,41-50,female,11,111,Shih Tzu,,,,2012,female,brown / white
70076,31-40,male,9,92,Labrador Retriever,,,,2009,male,brown
70176,41-50,female,4,44,Mischling gross,,,,2012,female,White
70287,51-60,male,2,24,Hirtenhund,,,,2006,male,white / gray
70296,41-50,female,7,74,Pinscher,Mixed,,,2009,male,tan
70296,41-50,female,7,74,Mischling klein,,,,2010,female,white / beige
70577,51-60,female,3,34,Mischling klein,,,,2003,female,black
70788,21-30,male,7,71,Mops,,Beagle,,2014,female,brown
70793,71-80,male,11,115,Soft Coated Wheaten Terrier,,,,2012,male,beige
71024,61-70,female,7,74,Lagotto Romagnolo,,,,2012,female,bianco-aranico
71119,51-60,female,9,91,Zwergpinscher,,,,2003,female,black / tan
71119,51-60,female,9,91,Prager Rattler,,Chihuahua,,2010,female,black / tan
71119,51-60,female,9,91,Chihuahua,,Prager Rattler,,2010,male,black / tan
71142,51-60,female,7,71,Canaan Dog,,,,2008,male,black
71344,51-60,female,6,63,Labrador Retriever,,,,2002,female,yellow
71475,31-40,male,3,34,Lagotto Romagnolo,,,,2015,male,White Brown
71542,41-50,male,9,92,Golden Retriever,,,,2003,female,blond color
71555,61-70,male,7,71,Mischling klein,,,,2009,male,black mold
71670,51-60,male,7,71,Deutscher Schäfer,,,,2012,female,brown
71757,41-50,male,4,42,Bouvier,,,,2012,male,blotched
71761,41-50,male,9,92,Jack Russel Terrier,,,,2010,male,tricolor
71893,41-50,female,6,63,Border Collie,,,,2012,female,tricolor
71915,71-80,female,1,13,Mischling klein,,,,2002,male,Gray
72136,51-60,male,7,72,Labrador Retriever,,,,2007,male,choco
72355,61-70,male,1,11,Foxterrier,,,,2005,male,tricolor
72580,41-50,male,10,102,Prager Rattler,,,,2013,male,brown
72580,41-50,male,10,102,Prager Rattler,,,,2013,male,tan
80006,61-70,male,3,31,Appenzeller Sennenhund,Mixed,,,2005,male,black / white / brown
80007,71-80,male,11,111,Labrador Retriever,,,,2006,male,blond color
80011,41-50,female,12,123,Malteser,Mixed,,,2004,male,White
80011,41-50,female,12,123,Papillon,Mixed,,,2001,female,black
80011,41-50,female,12,123,Jura Laufhund,Mixed,,,2003,male,black / brown / white
80011,41-50,female,12,123,Yorkshire Terrier,,,,2009,male,tricolor
80017,61-70,male,6,61,Labrador Retriever,,,,2006,female,black
80017,61-70,male,6,61,Spanischer Wasserhund,,,,2004,female,brown / white
80021,41-50,female,11,111,Labrador Retriever,,,,2011,female,black
80023,61-70,male,11,111,Border Collie,,,,2001,male,black-and-white
80023,61-70,male,11,111,Border Collie,,,,2010,male,tricolor
80028,41-50,female,10,101,Border Collie,,Deutscher Schäfer,,2015,female,tricolor
80056,81-90,male,7,74,Labrador Retriever,,,,2006,female,black
80059,71-80,female,12,123,Französische Bulldogge,,,,2007,female,White
80068,51-60,male,9,91,Bayerischer Gebirgsschweisshund,,,,2011,male,Crimson with mask
80096,51-60,female,11,111,Malteser,,,,2004,male,White
80097,61-70,male,6,61,Jack Russel Terrier,,,,2006,male,black-and-white
80099,71-80,male,12,123,Pinscher,,,,2002,male,red
80106,61-70,female,9,91,Labrador Retriever,,Golden Retriever,,2009,male,black
80127,41-50,female,10,101,American Bulldog,,,,2005,female,White
80141,51-60,male,11,111,Schnauzer,Mixed,,,2002,female,gray / brown
80143,71-80,female,9,92,Yorkshire Terrier,,,,2007,female,black / brown
80157,71-80,female,11,111,Mischling klein,,,,2003,female,brown / white
80162,51-60,male,12,123,Bouvier,,,,2008,female,black
80162,51-60,male,12,123,Parson Jack Russell Terrier,,,,2008,male,White-red
80168,61-70,male,11,119,Labrador Retriever,,,,2005,male,beige
80169,41-50,female,4,42,Jack Russel Terrier,,Wolfspitz,,2014,male,black
80169,41-50,female,4,42,Jack Russel Terrier,Mixed,,,2007,female,tricolor
80172,51-60,male,9,91,Labrador Retriever,,,,2008,male,black
80185,41-50,male,10,102,Labrador Retriever,,,,2010,female,blond color
80187,51-60,female,3,31,Golden Retriever,,,,2003,female,blond color
80188,51-60,female,10,101,Mischling klein,,,,2014,male,brown
80198,81-90,female,7,74,Malteser,,,,2000,female,White
80201,51-60,male,3,31,Mischling klein,,,,2007,female,black
80204,51-60,female,11,111,Appenzeller,,,,1998,male,Tri-color
80205,41-50,male,5,51,Beauceron,,,,2005,male,black / tan
80209,81-90,male,10,102,Bichon Havanais,,,,2000,female,White
80217,51-60,female,3,33,Foxterrier,,,,2007,female,brown / white
80223,41-50,male,11,111,Dachshund,Mixed,,,2011,female,tan
80226,71-80,female,6,61,Labrador Retriever,,,,2010,male,brown
80230,61-70,female,9,92,Yorkshire Terrier,,,,2006,male,brown / white
80230,61-70,female,9,92,Yorkshire Terrier,Mixed,,,2006,female,black / brown
80248,51-60,male,4,42,Jack Russel Terrier,,,,2009,female,brown / white
80258,51-60,male,11,111,Dackel,,,,2009,female,Red Black
80260,61-70,female,4,44,Rottweiler,,American Staffordshire Terrier,,2005,male,black
80267,41-50,male,12,122,Mischling klein,,,,2006,male,brown
80272,41-50,male,9,91,Terrier,Mixed,,,2007,male,black / tan
80306,61-70,male,9,91,Border Terrier,,,,2005,male,gray / brown
80317,81-90,female,7,74,Windspiel,,,,2001,female,blue
80319,41-50,female,10,102,Mischling klein,,,,2006,male,Brown black
80319,41-50,female,10,102,Dackel,Mixed,,,2010,female,tricolor
80330,71-80,female,12,123,Husky,,Appenzeller,,2004,female,brown / white
80331,51-60,female,10,101,Collie,,,,2007,female,tricolor
80335,61-70,female,12,122,Irish Setter,,Golden Retriever,,2008,male,brown
80335,61-70,female,12,122,Irish Setter,,Golden Retriever,,2008,male,brown
80351,81-90,female,3,33,Bearded Collie,,,,2005,female,brown / white
80370,51-60,male,12,121,Deutscher Schäfer,,,,2005,male,black / brown
80380,71-80,male,2,23,Mischling klein,,,,2007,female,tricolor
80382,51-60,female,10,102,Dachshund,,,,2008,male,brown
80383,81-90,female,4,44,Bichon,,West Highland White Terrier,,1999,female,White
80399,61-70,female,12,123,Appenzeller,Mixed,,,1998,male,tricolor
80404,61-70,male,7,72,Rottweiler,,,,2005,female,black
80406,51-60,male,11,111,Labrador Retriever,,,,2008,female,black
80407,71-80,male,7,72,Labrador Retriever,,,,2012,female,black
80410,51-60,female,7,73,Labrador Retriever,,,,2012,female,black
80411,41-50,female,6,61,Labrador Retriever,,,,2005,male,black
80412,51-60,male,2,21,Labrador Retriever,,,,2012,male,black
80416,41-50,female,9,91,Labrador Retriever,,,,2008,male,black
80427,61-70,male,10,102,Tschechoslowakischer Wolfshund,Mixed,,,2000,male,black / brown
80434,61-70,female,7,71,Pudel,Mixed,,,2006,male,black
80438,71-80,male,7,71,Deutscher Wachtel,,,,2006,female,reddish brown mold
80472,81-90,male,4,41,Collie,,,,2011,male,beige / white
80478,71-80,female,2,21,Cocker Spaniel,,,,2003,male,black-and-white
80491,61-70,female,12,123,Chihuahua,,,,2006,female,brown
80493,81-90,female,11,119,Shih Tzu,,,,2006,male,White black
80494,81-90,female,2,21,Dachshund,,,,2004,male,Brown black
80500,51-60,male,11,111,Boxer,,,,2010,female,golden brown
80500,51-60,male,11,111,Deutscher Boxer,,,,2004,male,yellow
80509,71-80,female,2,24,Boxer,,,,2011,female,yellow
80511,71-80,male,1,11,Tervueren,,Belgischer Schäfer,,2001,male,fauve
80513,51-60,female,3,33,Parson Jack Russell Terrier,,,,2011,female,tricolor
80516,41-50,male,3,33,Malteser,Mixed,,,2005,female,White Brown
80521,61-70,female,11,111,Deutscher Schäfer,,,,2005,male,black / brown
80525,71-80,male,7,72,Zwergpudel,,,,2011,male,black
80530,81-90,female,2,21,Pudel,,,,2005,female,black
80536,71-80,male,2,21,Schweizer Niederlaufhund,,,,2007,male,white / orange
80538,61-70,female,2,24,English Cocker Spaniel,,,,2011,male,black-and-white
80544,81-90,male,11,119,Dackel,,,,2008,female,brown
80545,51-60,male,9,91,Border Terrier,,,,2010,female,red grizzle
80545,51-60,male,9,91,Border Terrier,,,,2006,female,black / brown
80552,51-60,female,9,92,Windspiel,,,,1999,female,Gray
80552,51-60,female,9,92,Windspiel,,,,2004,female,beige / white
80553,81-90,female,2,21,Jack Russel Terrier,,,,2002,male,White black
80556,81-90,male,3,31,Mops,,,,2009,male,blotched
80571,51-60,male,3,31,Mischling klein,,,,2013,female,black / brown
80575,81-90,female,4,42,Mischling klein,,,,2008,female,white / beige
80584,71-80,female,8,82,Labrador Retriever,,,,2009,male,black
80602,61-70,female,12,122,Bolonka Zwetna,,,,2011,male,White
80604,71-80,male,7,72,Labrador Retriever,,,,2012,female,black
80604,71-80,male,7,72,Labrador Retriever,,,,2004,female,black
80604,71-80,male,7,72,Labrador Retriever,,,,2009,female,brown
80607,81-90,female,10,101,West Highland White Terrier,,,,2004,female,White
80608,81-90,female,2,24,Deutscher Schäfer,,,,2004,female,black yellow
80618,61-70,female,8,83,Irish Terrier,,,,2005,female,red
80622,61-70,male,6,61,Parson Russell Terrier,,,,2002,female,White Brown
80628,61-70,male,9,91,Labrador Retriever,,,,2005,male,black
80630,81-90,male,3,34,Zwergpudel,,,,2003,male,apricot
80631,71-80,female,11,115,Tervueren,,,,2005,female,Brown black
80637,81-90,male,12,123,Mischling klein,,,,2005,female,black / brown / white
80645,71-80,female,2,21,Berner Sennenhund,,,,2013,female,tricolor
80645,71-80,female,2,21,Berner Sennenhund,,,,2010,female,black / brown / white
80647,61-70,male,11,111,Golden Retriever,,,,2010,male,blond color
80648,41-50,male,11,111,Belgischer Schäfer,,Groenendael,,2015,male,black
80653,61-70,male,7,73,Groenendael,,,,2009,female,black
80656,71-80,male,10,101,Pointer,,,,2008,female,White
80657,71-80,female,11,119,Cairn Terrier,,,,2000,male,brindle
80659,51-60,female,3,33,English Springer Spaniel,,,,2012,male,black-and-white
80661,61-70,female,7,72,Chihuahua,,,,2014,female,black / beige
80663,81-90,female,7,73,Malteser,,,,2003,male,White
80684,71-80,female,2,21,Bergamasker,Mixed,,,2009,male,tricolor
80698,41-50,female,11,119,Pudel,,,,1999,male,apricot
80698,41-50,female,11,119,Toypudel,,,,2010,male,White
80700,51-60,female,2,21,Podenco,,,,2009,female,Brown black
80700,51-60,female,2,21,Mischling klein,,,,2007,female,brown / white
80708,71-80,female,11,119,West Highland White Terrier,,,,2000,male,White
80713,61-70,male,11,111,Dackel,,,,2012,female,red
80715,61-70,male,6,61,Mischling klein,,,,2007,male,russet
80719,61-70,female,11,111,Parson Terrier,Mixed,,,2005,male,beige
80719,61-70,female,11,111,Jack Russel Terrier,,,,2004,male,white / black / brown
80734,71-80,female,2,24,Basset Griffon vendéen,,,,2005,female,sable / white
80735,51-60,female,12,122,Golden Retriever,,,,2010,female,blond color
80746,71-80,female,7,71,Dachshund,,,,2000,female,saufarben
80753,71-80,male,9,92,Mischling klein,,,,2011,female,brown
80755,61-70,female,9,91,West Highland White Terrier,,,,2012,female,White
80758,81-90,female,2,24,Labrador Retriever,,,,2001,female,black
80760,61-70,female,7,74,Irish Setter,,Spaniel,,2000,male,red
80761,61-70,male,11,115,Appenzeller Sennenhund,,,,2011,female,tricolor
80761,61-70,male,11,115,Appenzeller Sennenhund,,,,2008,male,tricolor
80762,51-60,female,11,111,Golden Retriever,,,,2009,male,golden
80763,71-80,female,7,74,Hovawart,,,,2007,male,blond color
80767,61-70,female,9,92,Beagle,,,,2012,male,tricolor
80778,51-60,male,2,23,Yorkshire Terrier,,,,2014,female,black / brown
80797,71-80,female,2,24,Shih Tzu,,,,2009,male,tricolor
80835,71-80,female,7,73,Malteser,,,,2013,female,White
80838,71-80,female,7,71,Toypudel,,,,2013,female,black
80840,51-60,female,10,101,Dalmatiner,Mixed,,,2012,male,black-and-white
80843,61-70,female,5,51,Toypudel,,,,2001,male,black
80847,71-80,male,9,91,Beagle,,,,2006,female,tricolor
80849,61-70,male,11,119,Labrador Retriever,,Border Collie,,2002,female,black-and-white
80853,51-60,female,12,122,Labradoodle,,,,2015,female,black
80867,71-80,male,12,122,Mischling gross,,,,2005,female,beige / brown
80871,61-70,male,7,72,Terrier,Mixed,,,1998,male,Tri-color
80871,61-70,male,7,72,Mischling klein,,,,2003,female,blond color
80876,41-50,female,2,23,Mischling gross,,,,2012,male,black / white / beige
80879,61-70,male,7,74,Border Collie,Mixed,,,2000,male,tricolor
80881,71-80,female,7,72,Mops,,,,2008,female,beige
80881,71-80,female,7,72,Mops,,,,2006,male,beige
80884,71-80,female,7,74,Cocker Spaniel,,,,2005,female,white / orange
80885,81-90,male,7,72,West Highland White Terrier,,,,2005,female,White
80888,61-70,female,7,72,Deutscher Boxer,,,,2011,female,deer red
80890,61-70,male,7,73,Pinscher,Mixed,,,2004,female,tricolor
80896,81-90,male,7,74,Malteser,,,,2009,female,White
80897,41-50,female,7,71,Lagotto Romagnolo,,,,2011,female,brown
80914,81-90,male,11,119,Schäfer,,,,2007,female,White
80915,71-80,female,3,34,Golden Retriever,,,,2006,female,blond color
80916,41-50,female,9,92,Tervueren,,Belgischer Schäfer,,2003,female,brown
80916,41-50,female,9,92,Groenendael,,,,2010,female,black
80940,61-70,female,7,71,Mischling klein,,,,2011,female,black / brown
80950,61-70,female,7,73,Rhodesian Ridgeback,,,,2009,male,red
80956,91-100,male,7,73,Coton de Tulear,,,,2009,female,White
80957,51-60,female,7,74,Riesenschnauzer,,,,2012,female,black
80960,71-80,female,7,72,Mops,,,,2007,male,black
80972,61-70,male,7,74,Hovawart,,,,2014,male,black
80974,81-90,male,2,24,Grosspudel,,,,2003,female,apricot
80978,51-60,female,9,92,Mischling klein,,,,2012,male,tricolor
80982,61-70,female,10,101,Dachshund,,,,2010,male,black brindle
80986,71-80,female,11,111,Border Collie,Mixed,,,2001,female,black / brown / white
80999,51-60,female,10,101,West Highland White Terrier,,,,2000,female,White
81001,61-70,male,10,101,Deutscher Boxer,,,,2003,female,red
81004,51-60,female,9,92,Scottish Terrier,,,,2006,male,brindle
81004,51-60,female,9,92,Scottish Terrier,,,,2013,male,black
81018,81-90,female,10,101,Tervueren,,,,2005,female,brown
81027,61-70,female,8,82,Parson Jack Russell Terrier,,,,2000,female,White Brown
81042,41-50,female,2,21,Dackel,,Foxterrier,,2011,male,brown / white
81042,41-50,female,2,21,Mischling klein,,,,2008,female,tricolor
81043,71-80,male,10,101,Zwergpudel,,,,2003,male,brown
81045,61-70,female,6,63,Zwergrauhaardackel,,,,2009,female,saufarben
81050,61-70,female,5,52,Labrador Retriever,,,,2002,female,black
81050,61-70,female,5,52,Labrador Retriever,,,,2005,male,black
81050,61-70,female,5,52,Labrador Retriever,,,,2009,male,black
81054,51-60,female,1,11,Mops,,,,2011,male,black
81054,51-60,female,1,11,Labrador Retriever,,Golden Retriever,,2004,male,gold / sable
81064,61-70,female,8,83,Labrador Retriever,,,,2009,female,brown
81072,51-60,female,7,71,Mischling klein,,,,2008,female,brown / white
81091,61-70,female,7,71,Labrador Retriever,,,,2004,male,brown
81092,81-90,female,7,74,Foxterrier,,,,2003,male,saufarben
81096,81-90,female,7,71,Dackel,,,,2002,male,red
81097,61-70,female,7,72,Golden Retriever,,,,2013,female,golden
81100,51-60,female,7,73,Mischling klein,,,,2009,male,brown
81100,51-60,female,7,73,Mischling klein,,,,2011,female,red / brown
81107,71-80,female,7,74,Deutscher Schäfer,,,,2011,male,black yellow
81112,71-80,male,7,74,Australian Shepherd,Mixed,,,2009,male,blue / merle
81116,51-60,female,7,74,Französische Bulldogge,,Mops,,2014,female,beige / black
81132,31-40,male,7,73,Mischling klein,,,,2010,female,black / brown
81134,71-80,male,7,74,Pekingese,,,,2006,female,brown
81139,81-90,female,7,74,Mops,,,,2015,male,beige
81153,51-60,female,8,83,Airedale Terrier,,,,2013,female,black / tan
81159,61-70,male,9,92,Airedale Terrier,,,,2008,female,black / beige
81172,61-70,female,11,111,Collie,,,,2009,male,tricolor
81183,41-50,male,9,92,Deutscher Schäfer,,,,2011,female,black yellow
81183,41-50,male,9,92,Yorkshire Terrier,,,,2013,male,steel blue / tan
81184,61-70,female,9,92,Italienisches Windspiel,,,,2006,female,black
81188,51-60,male,10,101,Jack Russel Terrier,,,,2011,female,brown / white
81195,61-70,female,10,102,Beagle,,,,2004,male,tricolor
81197,51-60,female,2,21,West Highland White Terrier,,,,2002,female,White
81200,81-90,male,10,101,Toypudel,,,,2002,female,black
81202,71-80,male,9,91,Toypudel,,,,2004,female,silver
81210,61-70,female,4,42,Belgischer Schäfer,Mixed,,,2000,male,brown / gold
81212,51-60,female,9,92,Labrador Retriever,,,,2014,female,black
81218,71-80,female,9,91,Cairn Terrier,,,,2012,male,red / brown
81224,51-60,male,10,101,Miniature Bull Terrier,,,,2010,male,Red White
81234,81-90,male,9,92,Terrier,Mixed,,,2001,male,black-and-white
81235,71-80,male,4,42,Jack Russel Terrier,,Chihuahua,,2009,male,White black
81245,71-80,female,8,81,Chihuahua,,,,2009,female,red
81248,71-80,male,10,101,Deutscher Schäfer,,,,2011,male,black / brown
81251,51-60,female,2,24,Irish Terrier,,,,2014,female,red / brown
81252,71-80,female,9,91,Berger des Pyrenées,,,,1999,male,beige
81254,51-60,female,9,92,Tibet Terrier,,,,2004,male,White black
81273,71-80,male,9,92,Golden Retriever,,,,2005,male,beige
81274,91-100,male,9,92,Labrador Retriever,Mixed,,,2005,female,black
81281,61-70,male,3,33,Labrador Retriever,,,,2003,male,black
81287,81-90,male,7,71,Cairn Terrier,,,,2002,female,dark brindle
81293,81-90,female,10,101,Cocker Spaniel,,,,2002,female,black
81309,71-80,female,10,102,Yorkshire Terrier,Mixed,,,2006,female,black / brown
81316,71-80,female,11,119,Yorkshire Terrier,,,,2007,male,blue / tan
81319,61-70,male,10,102,Labrador Retriever,,,,2003,male,black
81322,71-80,female,6,63,Galgo Español,,,,2008,female,blotched
81323,81-90,male,6,63,Alpenländische Dachsbracke,,,,2007,male,deer red
81325,71-80,female,12,122,Sheltie,,,,2008,female,blue / merle
81330,41-50,female,2,24,Dobermann,Mixed,,,2000,female,black / brown
81336,51-60,female,6,63,Malteser,,,,2010,female,White
81343,31-40,female,11,111,Papillon,,,,2002,female,black / brown / white
81346,61-70,female,7,71,Terrier,Mixed,,,2005,female,tricolor
81348,61-70,female,7,71,Golden Retriever,,,,2006,female,golden
